# wavelength_um flux err
2.295353174209594727e+00 1.078394532203674316e+00 3.645906969904899597e-02
2.295372724533081055e+00 1.068328499794006348e+00 3.995285183191299438e-02
2.295392513275146484e+00 7.775995135307312012e-01 5.404998362064361572e-02
2.295412063598632812e+00 7.111120223999023438e-01 3.894928097724914551e-02
2.295431613922119141e+00 7.732893824577331543e-01 2.996310964226722717e-02
2.295450925827026367e+00 9.013954997062683105e-01 4.922162741422653198e-02
2.295470476150512695e+00 1.131081461906433105e+00 3.731923550367355347e-02
2.295490026473999023e+00 1.162525177001953125e+00 3.888583555817604065e-02
2.295509815216064453e+00 1.137038350105285645e+00 3.663898631930351257e-02
2.295529365539550781e+00 1.434198617935180664e+00 3.878019377589225769e-02
2.295548915863037109e+00 1.473264932632446289e+00 4.736784100532531738e-02
2.295568466186523438e+00 1.365776538848876953e+00 4.152224957942962646e-02
2.295588016510009766e+00 1.320256114006042480e+00 3.300360217690467834e-02
2.295607566833496094e+00 1.177262783050537109e+00 4.058295860886573792e-02
2.295627355575561523e+00 1.071690440177917480e+00 3.793042898178100586e-02
2.295646905899047852e+00 1.141541361808776855e+00 4.226897284388542175e-02
2.295666456222534180e+00 1.280498266220092773e+00 3.843595087528228760e-02
2.295686006546020508e+00 1.445254445075988770e+00 5.153879895806312561e-02
2.295705318450927734e+00 1.397818446159362793e+00 3.421665728092193604e-02
2.295724868774414062e+00 1.176164865493774414e+00 4.678176715970039368e-02
2.295744419097900391e+00 9.671652913093566895e-01 4.403436556458473206e-02
2.295764207839965820e+00 7.706531286239624023e-01 4.193004220724105835e-02
2.295783758163452148e+00 7.722438573837280273e-01 3.654755651950836182e-02
2.295803308486938477e+00 9.617853760719299316e-01 4.590328037738800049e-02
2.295822858810424805e+00 1.018323779106140137e+00 4.401886463165283203e-02
2.295842409133911133e+00 6.899530291557312012e-01 3.726973757147789001e-02
2.295861959457397461e+00 4.481053650379180908e-01 4.002709314227104187e-02
